raceId,driverId,stop,seconds,driverRef,forename,nationality,position,clase_pos
841,1,2,46.426,hamilton,Lewis,British,2.0,1
841,4,3,72.165,alonso,Fernando,Spanish,4.0,0
841,13,3,72.437,massa,Felipe,Brazilian,7.0,0
841,16,2,49.849,sutil,Adrian,German,9.0,0
841,17,3,72.176,webber,Mark,Australian,5.0,0
841,18,3,62.851,button,Jenson,British,6.0,0
841,20,2,46.639,vettel,Sebastian,German,1.0,1
841,67,2,48.442,buemi,Sébastien,Swiss,8.0,0
841,808,2,50.218,petrov,Vitaly,Russian,3.0,1
841,814,2,49.195,resta,Paul,British,10.0,0
842,1,4,93.011,hamilton,Lewis,British,3.0,1
842,2,3,69.723,heidfeld,Nick,German,7.0,0
842,4,4,98.04,alonso,Fernando,Spanish,5.0,0
842,13,3,74.658,massa,Felipe,Brazilian,6.0,0
842,17,4,88.793,webber,Mark,Australian,4.0,0
842,18,3,67.354,button,Jenson,British,2.0,1
842,20,3,67.225,vettel,Sebastian,German,1.0,1
842,67,3,80.562,buemi,Sébastien,Swiss,10.0,0
842,155,2,46.722,kobayashi,Kamui,Japanese,9.0,0
842,808,3,74.556,petrov,Vitaly,Russian,8.0,0
843,1,3,61.978,hamilton,Lewis,British,2.0,1
843,2,2,44.037,heidfeld,Nick,German,8.0,0
843,3,3,63.496,rosberg,Nico,German,9.0,0
843,4,2,43.775,alonso,Fernando,Spanish,5.0,0
843,13,2,42.792,massa,Felipe,Brazilian,6.0,0
843,17,3,65.665,webber,Mark,Australian,4.0,0
843,18,3,65.774,button,Jenson,British,3.0,1
843,20,2,43.528,vettel,Sebastian,German,1.0,1
843,155,2,43.791,kobayashi,Kamui,Japanese,10.0,0
843,808,2,43.986,petrov,Vitaly,Russian,7.0,0
844,1,4,99.637,hamilton,Lewis,British,2.0,1
844,2,4,86.975,heidfeld,Nick,German,7.0,0
844,3,4,84.757,rosberg,Nico,German,9.0,0
844,4,4,86.121,alonso,Fernando,Spanish,5.0,0
844,13,4,93.5,massa,Felipe,Brazilian,6.0,0
844,17,4,84.401,webber,Mark,Australian,3.0,1
844,18,3,65.424,button,Jenson,British,4.0,0
844,20,4,81.609,vettel,Sebastian,German,1.0,1
844,155,3,67.731,kobayashi,Kamui,Japanese,10.0,0
844,808,4,86.245,petrov,Vitaly,Russian,8.0,0
845,1,4,81.457,hamilton,Lewis,British,2.0,1
845,2,3,64.071,heidfeld,Nick,German,7.0,0
845,3,3,60.576,rosberg,Nico,German,6.0,0
845,4,4,81.923,alonso,Fernando,Spanish,5.0,0
845,13,3,64.854,massa,Felipe,Brazilian,8.0,0
845,17,4,81.223,webber,Mark,Australian,3.0,1
845,18,3,60.885,button,Jenson,British,4.0,0
845,20,4,80.858,vettel,Sebastian,German,1.0,1
845,30,3,61.022,michael_schumacher,Michael,German,10.0,0
845,808,3,67.827,petrov,Vitaly,Russian,9.0,0
846,1,3,77.769,hamilton,Lewis,British,2.0,1
846,2,2,52.132,heidfeld,Nick,German,6.0,0
846,3,3,75.615,rosberg,Nico,German,7.0,0
846,4,2,56.734,alonso,Fernando,Spanish,5.0,0
846,13,1,26.615,massa,Felipe,Brazilian,8.0,0
846,17,2,64.004,webber,Mark,Australian,3.0,1
846,18,3,76.371,button,Jenson,British,4.0,0
846,20,1,28.536,vettel,Sebastian,German,1.0,1
846,155,1,28.642,kobayashi,Kamui,Japanese,10.0,0
846,808,1,28.856,petrov,Vitaly,Russian,9.0,0
847,2,2,46.477,heidfeld,Nick,German,8.0,0
847,3,4,91.528,rosberg,Nico,German,10.0,0
847,4,3,76.37,alonso,Fernando,Spanish,5.0,0
847,13,4,98.534,massa,Felipe,Brazilian,6.0,0
847,17,3,74.718,webber,Mark,Australian,3.0,1
847,18,6,141.067,button,Jenson,British,2.0,1
847,20,3,69.356,vettel,Sebastian,German,1.0,1
847,30,4,94.369,michael_schumacher,Michael,German,9.0,0
847,808,2,47.961,petrov,Vitaly,Russian,7.0,0
848,1,3,61.587,hamilton,Lewis,British,4.0,0
848,2,3,65.871,heidfeld,Nick,German,9.0,0
848,3,3,65.497,rosberg,Nico,German,7.0,0
848,4,3,62.164,alonso,Fernando,Spanish,5.0,0
848,13,3,66.659,massa,Felipe,Brazilian,6.0,0
848,17,3,61.151,webber,Mark,Australian,3.0,1
848,18,3,61.801,button,Jenson,British,2.0,1
848,20,3,61.778,vettel,Sebastian,German,1.0,1
848,30,3,73.034,michael_schumacher,Michael,German,10.0,0
848,808,3,64.377,petrov,Vitaly,Russian,8.0,0
849,1,3,72.505,hamilton,Lewis,British,4.0,0
849,2,2,49.15,heidfeld,Nick,German,8.0,0
849,3,2,49.121,rosberg,Nico,German,7.0,0
849,4,3,74.014,alonso,Fernando,Spanish,3.0,1
849,13,3,71.326,massa,Felipe,Brazilian,6.0,0
849,17,3,73.248,webber,Mark,Australian,2.0,1
849,18,3,72.649,button,Jenson,British,5.0,0
849,20,3,79.513,vettel,Sebastian,German,1.0,1
849,30,3,86.644,michael_schumacher,Michael,German,10.0,0
849,808,2,49.052,petrov,Vitaly,Russian,9.0,0
850,1,3,61.881,hamilton,Lewis,British,3.0,1
850,3,3,61.37,rosberg,Nico,German,7.0,0
850,4,3,60.44,alonso,Fernando,Spanish,4.0,0
850,13,3,62.432,massa,Felipe,Brazilian,6.0,0
850,17,3,62.063,webber,Mark,Australian,2.0,1
850,18,1,20.952,button,Jenson,British,5.0,0
850,20,3,60.778,vettel,Sebastian,German,1.0,1
850,30,3,60.997,michael_schumacher,Michael,German,10.0,0
850,808,2,42.021,petrov,Vitaly,Russian,9.0,0
851,1,6,119.2,hamilton,Lewis,British,3.0,1
851,2,2,46.805,heidfeld,Nick,German,8.0,0
851,3,4,84.513,rosberg,Nico,German,7.0,0
851,4,4,86.156,alonso,Fernando,Spanish,4.0,0
851,13,4,87.041,massa,Felipe,Brazilian,6.0,0
851,17,5,103.364,webber,Mark,Australian,2.0,1
851,18,3,62.897,button,Jenson,British,5.0,0
851,20,3,60.965,vettel,Sebastian,German,1.0,1
851,30,2,42.019,michael_schumacher,Michael,German,10.0,0
851,808,4,92.688,petrov,Vitaly,Russian,9.0,0
